title,headline,significance,location,address,city,state,zipcode,latitude,longitude,status,subject,earliestbuildingdate,datedestroyed,rennovationsyear,orginalarchitect,additionalarchitect,filename,format,rights,objectid
Berean Presbyterian Church Site / Berean Institute,,,North,1906-1926 S. College Ave.,Philadelphia,PA,19121,39.972627,-75.173802,doubt,church,0,0,0,T.P. Chandler,unknown,,NONE,,dream065
Berean Presbyterian Church / Bethlehem Presbyterian Church,,,North,2101 N. Broad St.,Philadelphia,PA,19122,39.98487,-75.156197,success,church,1888,0,1909;1910;1915,T.P. Chandler,J. Franklin Stuckert,,NONE,,dream066
Universal Negro Improvement Association (UNIA),,,North,1609-11 Cecil B. Moore Ave.,Philadelphia,PA,19121,39.979375,-75.161489,success,,1894,0,0,Thomas Lonsdale,unknown,,NONE,,dream067
Girard College,,,North,2101 S. College Ave.,Philadelphia,PA,19121,39.972627,-75.173802,doubt,school,1833,0,1968,Thomas Ustick Walter,unknown,https://media.phillyvoice.com/media/images/01-083115_GirardCollege_Carroll.2e16d0ba.fill-735x490.jpg,JPEG,,dream068
Union A.M.E. Church / Hedding M. E. Church / Calvary Baptist Church,,,North,655 N. 16th St.,Philadelphia,PA,19130,39.966666,-75.163569,success,church,1859,0,1902;1906,Watson & Huckel,C. Davis,,NONE,,dream069
Unity Mission / Charles T. Ellis House,,,North,1430 N. Broad St.,Philadelphia,PA,19121,39.975493,-75.15912,success,dwelling,1891,0,0,William Decker,unknown,,NONE,,dream070
Metropolitan Opera House,,,North,848-860 N. Broad St.,Philadelphia,PA,19130,40.010581,-75.150898,doubt,"opera house, church",1908,1908,0,William McElfatrick,unknown,,NONE,,dream071
Shibe Park / Connie Mack Stadium,,,North,2701 N. 21st St.,Philadelphia,PA,19132,39.983256,-75.168608,doubt,stadium,1908,1909,0,William Steele & Sons Co.,unknown,,NONE,,dream072
Divine Lorraine Hotel,,,North,699 N. Broad St.,Philadelphia,PA,19123,39.966699,-75.160017,success,"hotel, apartment building",1894,0,0,Willis G. Hale,unknown,,NONE,,dream073
Bethany A.M.E. Church,,,Northeast,8820 Ashton Rd.,Philadelphia,PA,19136,40.058183,-75.027363,success,church,1800,0,0, Elias Chase,unknown,,NONE,,dream074
Germantown Historical Society / Fromberger House,,,Northwest,5501-5505 Germantown Ave.,Philadelphia,PA,19144,39.973054,-75.141599,doubt,"dwelling, young women's christian association, church, office building",1796,0,1917;1930;1952-1954,G. Edwin,unknown,https://www.preservationalliance.com/images/aia/5501Germantown.jpg,JPEG,Preservation Alliance for Greater Philadelphia,dream075
Northern Home for Children,,,Northwest,5301 Ridge Ave.,Philadelphia,PA,19128,40.021044,-75.208578,success,,0,0,1927,Horace Trumbauer (Julian Abele),unknown,,,,dream076
Grace Baptist Church Building #1,,,Northwest,34-36 E. Sharpnack St.,Philadelphia,PA,19119,40.049813,-75.183061,success,church,1908,0,0,Jacob Naschold,unknown,https://www.preservationalliance.com/images/aia/34-6ESharpnack.jpg,JPEG,Preservation Alliance for Greater Philadelphia,dream077
Coulter Street School site / Daniel L. Keyser School / Wissahickon Boys and Girls Club,,,Northwest,328 W. Coulter St.,Philadelphia,PA,19144,40.026712,-75.176742,success,school,1887,0,0,Joseph Anshutz,unknown,https://www.preservationalliance.com/images/aia/328WCoulter.jpg,JPEG,Preservation Alliance for Greater Philadelphia,dream078
Galilee Baptist Church Building,,,Northwest,457 Roxborough Ave.,Philadelphia,PA,19128,40.028745,-75.213417,success,church,1900,0,0,Kennedy & Kelsey,unknown,,NONE,,dream079
Thomas Meehan Public School,,,Northwest,5347-5353 Pulaski Ave.,Philadelphia,PA,19144,40.032722,-75.182942,doubt,school,1901,0,0,Lloyd Titus,unknown,https://www.preservationalliance.com/images/aia/5347Pulaski.jpg,JPEG,Preservation Alliance for Greater Philadelphia,dream080
Grace Baptist Church Building #2,,,Northwest,25 W. Johnson St.,Philadelphia,PA,19144,40.037799,-75.190539,doubt,church,1960,0,0,"Mansell, McGettigan & Fugate",unknown,https://www.preservationalliance.com/images/aia/25WJohnson.jpg,JPEG,Preservation Alliance for Greater Philadelphia,dream081
Canaan Baptist Church Building / West Side Presbyterian Church Building,,,Northwest,5430 Pulaski Ave.,Philadelphia,PA,19144,40.028438,-75.177459,success,church,1891,0,0,Mantle Fielding,unknown,https://www.preservationalliance.com/images/aia/5430Pulaski.jpg,JPEG,Preservation Alliance for Greater Philadelphia,dream082
Janes Methodist Church Building,,,Northwest,528 E. Haines St.,Philadelphia,PA,19144,40.04493,-75.169789,success,church,1898,0,0,Rankin and Kellogg,unknown,https://www.preservationalliance.com/images/aia/528EHaines.jpg,JPEG,Preservation Alliance for Greater Philadelphia,dream083
Germantown YMCA,,,Northwest,5722 Greene St.,Philadelphia,PA,19144,40.034007,-75.177817,success,young men's Christian association,1928,0,0,"Thomas, Martin & Kirkpatrick",unknown,https://www.preservationalliance.com/images/aia/5722Greene.jpg,JPEG,Preservation Alliance for Greater Philadelphia,dream084
Bethel A.M.E. Church (Germantown) Building #2 / Rialto Theater Building / Tulpehocken Theater Building,,,Northwest,6153 Germantown Ave.,Philadelphia,PA,19144,40.042148,-75.179724,success,church,1914,0,0,unknown,William H. Lee,https://www.preservationalliance.com/images/aia/6153Germantown.jpg,JPEG,Preservation Alliance for Greater Philadelphia,dream085
Bainbridge Club / Hotel Brotherhood USA,,,South,1523-1529 Bainbridge St.,Philadelphia,PA,19146,39.942257,-75.161512,doubt,clubhouse,1919,0,0,A. Borzner,unknown,,NONE,,dream086
Gloria Dei Church / Old Swedes' Episcopal Church,,,South,916 S. Swanson St.,Philadelphia,PA,19147,39.916921,-75.146962,doubt,church,1677,0,1703-1705;1733;1845;1846,Andrew Rudman,"George Champlin Mason, Jr.",,NONE,,dream087
Elks Lodge,,,South,739-43 S. 16th St.,Philadelphia,PA,19146,39.942034,-75.168896,success,,1928,0,0,C. Adams,unknown,,NONE,,dream088
Union Baptist Church Building #2,,,South,1910 Fitzwater St.,Philadelphia,PA,19146,39.942723,-75.174563,success,church,1913,0,1926,Charles Bolton & Son,Charles Bolton & Son,,NONE,,dream089
St. Charles Borromeo Church,,,South,1941 Christian St.,Philadelphia,PA,19146,39.941299,-75.175457,success,church,1876,0,0,Edwin Forrest Durang,unknown,https://www.preservationalliance.com/images/aia/1941ChristianSt.jpg,JPEG,Preservation Alliance for Greater Philadelphia,dream090
Holy Trinity Baptist Church,,,South,1818-1824 Bainbridge St.,Philadelphia,PA,19146,39.942257,-75.161512,doubt,church,1900,0,0,Edwin Gilbert of Gilbert & Reid,unknown,,NONE,,dream091
YWCA - Southwest-Belmont Branch,,,South,1607-15 Catharine St.,Philadelphia,PA,19146,39.936955,-75.142769,doubt,young women's Christian association,1922,0,0,"Erskine, Morris",unknown,,NONE,,dream092
Shiloh Baptist Church #3 / Church of the Holy Apostles,,,South,2040 Christian St.,Philadelphia,PA,19146,39.941156,-75.17749,success,church,1868,0,0,"Fraser, Furness & Hewitt",George W. Hewitt,https://www.preservationalliance.com/images/aia/2040ChristianSt.jpg,JPEG,Preservation Alliance for Greater Philadelphia,dream093
Harrison Day Nursery,,,South,1839-1843 Ellsworth St.,Philadelphia,PA,19146,39.933044,-75.146626,doubt,day care,1898,0,0,"Furness, Evans and Co.",unknown,,NONE,,dream094
Zion A.M.E. Church,,,South,1600 S. 21st St.,Philadelphia,PA,19145,39.931847,-75.180092,success,church,1925,0,0,George E. Savage,unknown,,NONE,,dream095
St. Martha's House / Houston Community Center,,,South,2029 S. 8th St.,Philadelphia,PA,19148,39.923225,-75.159555,success,settlement house,1914,0,0,Hastings Brockie,unknown,,NONE,,dream096
St. Mary Chapel Building,,,South,1831-1835 Bainbridge St.,Philadelphia,PA,19146,39.942257,-75.161512,doubt,church,1897,0,0,Hazlehurst & Huckel,unknown,,NONE,,dream097
Varick Memorial Church Site,,,South,763 S. 19th St.,Philadelphia,PA,19146,39.942029,-75.173852,success,church,1889,0,0,Hazlehurst & Huckel,unknown,,NONE,,dream098
Friendship Baptist Church / 18th Street Baptist Church / 18th Street Methodist Episcopal Church,,,South,1730 Wharton St.,Philadelphia,PA,19146,39.934777,-75.173805,success,church,1885,0,0,J. Franklin Stuckert,unknown,,NONE,,dream099
Church of the Crucifixion Building and Parish House,,,South,620 S. 8th St.,Philadelphia,PA,19147,39.932037,-75.157756,doubt,church,1883,0,1902,Pursell & Fry,"Isaac Pursell and Duhring, Okie & Ziegler",https://www.preservationalliance.com/images/aia/620S8thSt.jpg,JPEG,Preservation Alliance for Greater Philadelphia,dream100
Tasker Street Baptist Church / Metropolitan Baptist Church,,,South,2010 Tasker St.,Philadelphia,PA,19145,39.930982,-75.172246,doubt,church,1900,0,1928;1940,S. Bythewood,Richard R. Neely,,NONE,,dream101
First African Presbyterian Church / Tabor Chapel / St. Paul's German Reform Church / First Colored Wesley Methodist Church,,,South,1642 Fitzwater St.,Philadelphia,PA,19146,39.942237,-75.170639,success,church,1857,0,0,Samuel Sloan,unknown,https://www.preservationalliance.com/images/aia/1642FitzwaterSt.jpg,JPEG,Preservation Alliance for Greater Philadelphia,dream102
Union Baptist Building #1 / New Hope Temple Baptist Church,,,South,711-715 S. 12th St.,Philadelphia,PA,19147,39.932836,-75.164046,doubt,church,1893,0,0,Thomas Bennett,unknown,https://www.preservationalliance.com/images/aia/711-15S12thStb.jpg,JPEG,Preservation Alliance for Greater Philadelphia,dream103
Moyamensing Prison,,,South,10th and Reed Sts.,Philadelphia,PA,19147,39.990821,-75.168428,doubt,prison,1832,1968,9,Thomas Ustick Walter,unknown,,NONE,,dream104
St. Simon the Cyrenian Church and Rectory,,,South,1401 S. 22nd St.,Philadelphia,PA,19146,39.934379,-75.180644,success,church,1905,0,1913-1914,"Thomas, Churchman & Molitor",unknown,,NONE,,dream105
First Penny Savings and Loan,,,South,2052 Bainbridge St.,Philadelphia,PA,19146,39.942257,-75.161512,doubt,bank,1914,0,0,W. Haddock,unknown,,NONE,,dream106
First African Baptist Church Building,,,South,1600-1606 Christian St.,Philadelphia,PA,19146,39.939942,-75.165555,doubt,church,1904,0,0,Watson & Huckel,unknown,,NONE,,dream107
Shiloh Baptist Church #1 / Murray Chapel / Mount Olive A.M.E. Church / Waters Memorial A.M.E. Church,,,South,609 S. Clifton St.,Philadelphia,PA,19147,39.942645,-75.159714,success,church,1840,0,1895;1921,Wilson Brothers, C. Wilson,https://www.preservationalliance.com/images/aia/609SCliftonSt.jpg,JPEG,Preservation Alliance for Greater Philadelphia,dream108
Dutrieuille Catering Site #2,,,West,4001 Spring Garden St.,Philadelphia,PA,19104,39.961839,-75.202415,success,caterer,1888,0,0,A. Wade,unknown,,,,dream109
First African Presbyterian Church / Emmanuel Presbyterian Church,,,West,4159 W. Girard Ave.,Philadelphia,PA,19104,39.973946,-75.209674,success,church,1912,0,0,Charles Bolton & Son,unknown,,,,dream110
St. Matthew Church Building,,,West,215 N. 57th St.,Philadelphia,PA,19139,39.964697,-75.233722,success,church,1940,0,0,Charles Bolton & Son,unknown,,,,dream111
Bethel Baptist Church,,,West,4033-4037 Haverford Ave.,Philadelphia,PA,19104,39.968301,-75.23486,doubt,church,1924,0,0,Clarence Caspary,unknown,,,,dream112
Franklin Field,,,West,33rd and Spruce Streets,Philadelphia,PA,19104,39.990821,-75.168428,doubt,stadium,1922,0,0,Day & Klauder,unknown,,,,dream113
St. Monica Mission Church Site,,,West,4206 Woodland Ave.,Philadelphia,PA,19104,39.949464,-75.199983,doubt,church,1914,0,0,"Duhring, Okie and Ziegler",unknown,,,,dream114
Paul Leroy Robeson House,,,West,4951 Walnut St.,Philadelphia,PA,19139,39.956688,-75.221373,success,dwelling,1911,0,1959,E.A. Wilson,unknown,,,,dream115
African Episcopal Church of St. Thomas Site #3,,,West,6361 Lancaster Ave.,Philadelphia,PA,19151,39.987312,-75.251068,success,church,1899,0,1905,Frederick Mann,Baily & Bassett,,,,dream116
Allen A.M.E. Church Building #3 / Fourth Reformed Presbyterian Church Building,,,West,5901 Larchwood Ave.,Philadelphia,PA,19143,39.954,-75.240659,success,church,1917,0,0,George D. Savage,unknown,,,,dream117
Mount Pisgah A.M.E. Church / Centenary Methodist Church,,,West,428 N. 41st St.,Philadelphia,PA,19104,39.976197,-75.206385,doubt,church,1860,0,1901;1913;1944,H. King,James Fernald,,,,dream118
Mount Carmel Baptist Church,,,West,5732 Race St.,Philadelphia,PA,19139,39.964312,-75.235491,success,church,1915,0,1938,Henry DeHoff,Charles Bolton & Sons,,,,dream119
Clanerda Presbyterian Church,,,West,34th and Girard Sts.,Philadelphia,PA,19104,39.990821,-75.168428,doubt,church,1912,0,0,Horace Trumbauer (Julian Abele),unknown,,,,dream120
Irvine Auditorium (University of Pennsylvania),,,West,3401 Spruce St.,Philadelphia,PA,19104,39.950877,-75.19301,success,auditorium,1928,0,0,Horace Trumbauer (Julian Abele),unknown,,,,dream121
Otto Eisenlohr House / President's House (University of Pennsylvania),,,West,3812 Walnut St.,Philadelphia,PA,19104,39.949649,-75.16673,doubt,dwelling,1905,0,0,Horace Trumbauer (Julian Abele),unknown,,,,dream122
Zoological Society Building,,,West,34th and Girard Sts.,Philadelphia,PA,19104,39.990821,-75.168428,doubt,,1912,0,0,Horace Trumbauer (Julian Abele),unknown,,,,dream123
Stephen Smith Home for the Aged and Infirmed,,,West,4400 W. Girard Ave.,Philadelphia,PA,19104,39.972816,-75.212586,success,retirement home,1883,0,0,"Hutton, Addison",unknown,,,,dream124
Overbrook High School (Wilt Chamberlain),,,West,5898 Lancaster Ave.,Philadelphia,PA,19131,39.974485,-75.220917,doubt,school,1924,0,0,Irwin T. Catherine,unknown,,,,dream125
Star of Hope Baptist Church,,,West,443 N. 60th St.,Philadelphia,PA,19151,39.969076,-75.239025,success,church,1962,0,0,James Plater,unknown,,,,dream126
Tyree A.M.E. Church / 10th United Presbyterian Church,,,West,3800 Hamilton St.,Philadelphia,PA,19104,39.961293,-75.19721,success,church,1886,0,0, Lawrence Valk,unknown,,,,dream127
Pinn Memorial Baptist Church / Har Zion Synagogue,,,West,2251 N. 54th St.,Philadelphia,PA,19131,39.993335,-75.233854,doubt,church,1922,0,1940-1957,Leroy Rothschild,Silverman & Levey,,,,dream128
Lombard Central Presbyterian Church Building #2 / Friends Meeting House,,,West,4201 Powelton Ave.,Philadelphia,PA,19104,39.959156,-75.206639,success,church,1875,0,0,Morris & Vaux,unknown,,,,dream129
Tyree A.M.E. Church (?) / Williams Chapel / Metropolitan Baptist Church / First United Baptist Church,,,West,3728-3730 Haverford Ave.,Philadelphia,PA,19104,39.968301,-75.23486,doubt,church,1922,0,1903,Richard Neely,unknown,,,,dream130
Monumental Baptist Church / First Reformed Church,,,West,4948 Locust St.,Philadelphia,PA,19139,39.955048,-75.221354,success,church,1923,0,0,Stuckert & Co.,unknown,,,,dream131
"United Mission Church / Pennsylvania Railroad Branch, YMCA / Second Antioch Baptist Church",,,West,907 N. 41st St.,Philadelphia,PA,19104,39.976197,-75.206385,doubt,church,1892,0,0,T. P. Lonsdale,unknown,,,,dream132
White Rock Baptist Church / St. Matthew M.E. Church,,,West,5240-5244 Chestnut St.,Philadelphia,PA,19139,39.957881,-75.220335,doubt,church,1889,0,1899;1908,T. P. Lonsdale,Wesl,,,,dream133
St. Michael and All Angels Chapel / Bethany Baptist Church / Victory Baptist Church,,,West,4238 Wallace St.,Philadelphia,PA,19104,39.963341,-75.20862,success,church,1889,0,1920,"Furness, Evans & Co.(William Camac)",John E. Bullock,,,,dream134
,,,,,,,,,,,,,,,,,,,,dream135